day,lai,rootmass,totn
1,2.8,715,2.1
2,2.8,715,2.1
3,2.8,715,2.1
4,2.8,715,2.1
5,2.8,715,2.1
6,2.8,715,2.1
7,2.8,715,2.1
8,2.8,715,2.1
9,2.8,715,2.1
10,2.8,715,2.1
11,2.8,715,2.1
12,2.8,715,2.1
13,2.8,715,2.1
14,2.8,715,2.1
15,2.8,715,2.1
16,2.8,715,2.1
17,2.8,715,2.1
18,2.8,715,2.1
19,2.8,715,2.1
20,2.8,715,2.1
21,2.8,715,2.1
22,2.8,715,2.1
23,2.8,715,2.1
24,2.8,715,2.1
25,2.8,715,2.1
26,2.8,715,2.1
27,2.8,715,2.1
28,2.8,715,2.1
29,2.8,715,2.1
30,2.8,715,2.1
31,2.8,715,2.1
32,2.8,715,2.1
33,2.8,715,2.1
34,2.8,715,2.1
35,2.8,715,2.1
36,2.8,715,2.1
37,2.8,715,2.1
38,2.8,715,2.1
39,2.8,715,2.1
40,2.8,715,2.1
41,2.8,715,2.1
42,2.8,715,2.1
43,2.8,715,2.1
44,2.8,715,2.1
45,2.8,715,2.1
46,2.8,715,2.1
47,2.8,715,2.1
48,2.8,715,2.1
49,2.8,715,2.1
50,2.8,715,2.1
51,2.8,715,2.1
52,2.8,715,2.1
53,2.8,715,2.1
54,2.8,715,2.1
55,2.8,715,2.1
56,2.8,715,2.1
57,2.8,715,2.1
58,2.8,715,2.1
59,2.8,715,2.1
60,2.8,715,2.1
61,2.805,715,2.1
62,2.81,715,2.1
63,2.815,715,2.1
64,2.82,715,2.1
65,2.825,715,2.1
66,2.83,715,2.1
67,2.835,715,2.1
68,2.84,715,2.1
69,2.845,715,2.1
70,2.85,715,2.1
71,2.855,715,2.1
72,2.86,715,2.1
73,2.865,715,2.1
74,2.87,715,2.1
75,2.875,715,2.1
76,2.88,715,2.1
77,2.885,715,2.1
78,2.89,715,2.1
79,2.895,715,2.1
80,2.9,715,2.1
81,2.905,715,2.1
82,2.91,715,2.1
83,2.915,715,2.1
84,2.92,715,2.1
85,2.925,715,2.1
86,2.93,715,2.1
87,2.935,715,2.1
88,2.94,715,2.1
89,2.945,715,2.1
90,2.95,715,2.1
91,2.955,715,2.1
92,2.96,715,2.1
93,2.965,715,2.1
94,2.97,715,2.1
95,2.975,715,2.1
96,2.98,715,2.1
97,2.985,715,2.1
98,2.99,715,2.1
99,2.995,715,2.1
100,3,715,2.1
101,3.005,715,2.1
102,3.01,715,2.1
103,3.015,715,2.1
104,3.02,715,2.1
105,3.025,715,2.1
106,3.03,715,2.1
107,3.035,715,2.1
108,3.04,715,2.1
109,3.045,715,2.1
110,3.05,715,2.1
111,3.055,715,2.1
112,3.06,715,2.1
113,3.065,715,2.1
114,3.07,715,2.1
115,3.075,715,2.1
116,3.08,715,2.1
117,3.085,715,2.1
118,3.09,715,2.1
119,3.095,715,2.1
120,3.1,715,2.1
121,3.11,715,2.1
122,3.12,715,2.1
123,3.13,715,2.1
124,3.14,715,2.1
125,3.15,715,2.1
126,3.16,715,2.1
127,3.17,715,2.1
128,3.18,715,2.1
129,3.19,715,2.1
130,3.2,715,2.1
131,3.21,715,2.1
132,3.22,715,2.1
133,3.23,715,2.1
134,3.24,715,2.1
135,3.25,715,2.1
136,3.26,715,2.1
137,3.27,715,2.1
138,3.28,715,2.1
139,3.29,715,2.1
140,3.3,715,2.1
141,3.31,715,2.1
142,3.32,715,2.1
143,3.33,715,2.1
144,3.34,715,2.1
145,3.35,715,2.1
146,3.36,715,2.1
147,3.37,715,2.1
148,3.38,715,2.1
149,3.39,715,2.1
150,3.4,715,2.1
151,3.41,715,2.1
152,3.42,715,2.1
153,3.43,715,2.1
154,3.44,715,2.1
155,3.44,715,2.1
156,3.44,715,2.1
157,3.44,715,2.1
158,3.44,715,2.1
159,3.44,715,2.1
160,3.44,715,2.1
161,3.44,715,2.1
162,3.44,715,2.1
163,3.44,715,2.1
164,3.44,715,2.1
165,3.44,715,2.1
166,3.44,715,2.1
167,3.44,715,2.1
168,3.44,715,2.1
169,3.44,715,2.1
170,3.44,715,2.1
171,3.44,715,2.1
172,3.44,715,2.1
173,3.44,715,2.1
174,3.44,715,2.1
175,3.44,715,2.1
176,3.44,715,2.1
177,3.44,715,2.1
178,3.44,715,2.1
179,3.44,715,2.1
180,3.44,715,2.1
181,3.44,715,2.1
182,3.44,715,2.1
183,3.44,715,2.1
184,3.44,715,2.1
185,3.44,715,2.1
186,3.44,715,2.1
187,3.44,715,2.1
188,3.44,715,2.1
189,3.44,715,2.1
190,3.44,715,2.1
191,3.44,715,2.1
192,3.44,715,2.1
193,3.44,715,2.1
194,3.44,715,2.1
195,3.44,715,2.1
196,3.44,715,2.1
197,3.44,715,2.1
198,3.44,715,2.1
199,3.44,715,2.1
200,3.44,715,2.1
201,3.44,715,2.1
202,3.44,715,2.1
203,3.44,715,2.1
204,3.44,715,2.1
205,3.44,715,2.1
206,3.44,715,2.1
207,3.44,715,2.1
208,3.44,715,2.1
209,3.44,715,2.1
210,3.44,715,2.1
211,3.44,715,2.1
212,3.44,715,2.1
213,3.44,715,2.1
214,3.44,715,2.1
215,3.44,715,2.1
216,3.44,715,2.1
217,3.44,715,2.1
218,3.44,715,2.1
219,3.44,715,2.1
220,3.44,715,2.1
221,3.44,715,2.1
222,3.44,715,2.1
223,3.44,715,2.1
224,3.44,715,2.1
225,3.44,715,2.1
226,3.44,715,2.1
227,3.44,715,2.1
228,3.44,715,2.1
229,3.44,715,2.1
230,3.44,715,2.1
231,3.44,715,2.1
232,3.44,715,2.1
233,3.44,715,2.1
234,3.44,715,2.1
235,3.44,715,2.1
236,3.44,715,2.1
237,3.44,715,2.1
238,3.44,715,2.1
239,3.44,715,2.1
240,3.44,715,2.1
241,3.44,715,2.1
242,3.44,715,2.1
243,3.44,715,2.1
244,3.44,715,2.1
245,3.43,715,2.1
246,3.42,715,2.1
247,3.41,715,2.1
248,3.4,715,2.1
249,3.39,715,2.1
250,3.38,715,2.1
251,3.37,715,2.1
252,3.36,715,2.1
253,3.35,715,2.1
254,3.34,715,2.1
255,3.33,715,2.1
256,3.32,715,2.1
257,3.31,715,2.1
258,3.3,715,2.1
259,3.29,715,2.1
260,3.28,715,2.1
261,3.27,715,2.1
262,3.26,715,2.1
263,3.25,715,2.1
264,3.24,715,2.1
265,3.23,715,2.1
266,3.22,715,2.1
267,3.21,715,2.1
268,3.2,715,2.1
269,3.19,715,2.1
270,3.18,715,2.1
271,3.17,715,2.1
272,3.16,715,2.1
273,3.15,715,2.1
274,3.14,715,2.1
275,3.13,715,2.1
276,3.12,715,2.1
277,3.11,715,2.1
278,3.1,715,2.1
279,3.09,715,2.1
280,3.08,715,2.1
281,3.07,715,2.1
282,3.06,715,2.1
283,3.05,715,2.1
284,3.04,715,2.1
285,3.03,715,2.1
286,3.02,715,2.1
287,3.01,715,2.1
288,3,715,2.1
289,2.99,715,2.1
290,2.98,715,2.1
291,2.97,715,2.1
292,2.96,715,2.1
293,2.95,715,2.1
294,2.94,715,2.1
295,2.93,715,2.1
296,2.92,715,2.1
297,2.91,715,2.1
298,2.9,715,2.1
299,2.89,715,2.1
300,2.88,715,2.1
301,2.87,715,2.1
302,2.86,715,2.1
303,2.85,715,2.1
304,2.84,715,2.1
305,2.83,715,2.1
306,2.82,715,2.1
307,2.81,715,2.1
308,2.8,715,2.1
309,2.8,715,2.1
310,2.8,715,2.1
311,2.8,715,2.1
312,2.8,715,2.1
313,2.8,715,2.1
314,2.8,715,2.1
315,2.8,715,2.1
316,2.8,715,2.1
317,2.8,715,2.1
318,2.8,715,2.1
319,2.8,715,2.1
320,2.8,715,2.1
321,2.8,715,2.1
322,2.8,715,2.1
323,2.8,715,2.1
324,2.8,715,2.1
325,2.8,715,2.1
326,2.8,715,2.1
327,2.8,715,2.1
328,2.8,715,2.1
329,2.8,715,2.1
330,2.8,715,2.1
331,2.8,715,2.1
332,2.8,715,2.1
333,2.8,715,2.1
334,2.8,715,2.1
335,2.8,715,2.1
336,2.8,715,2.1
337,2.8,715,2.1
338,2.8,715,2.1
339,2.8,715,2.1
340,2.8,715,2.1
341,2.8,715,2.1
342,2.8,715,2.1
343,2.8,715,2.1
344,2.8,715,2.1
345,2.8,715,2.1
346,2.8,715,2.1
347,2.8,715,2.1
348,2.8,715,2.1
349,2.8,715,2.1
350,2.8,715,2.1
351,2.8,715,2.1
352,2.8,715,2.1
353,2.8,715,2.1
354,2.8,715,2.1
355,2.8,715,2.1
356,2.8,715,2.1
357,2.8,715,2.1
358,2.8,715,2.1
359,2.8,715,2.1
360,2.8,715,2.1
361,2.8,715,2.1
362,2.8,715,2.1
363,2.8,715,2.1
364,2.8,715,2.1
365,2.8,715,2.1
366,2.8,715,2.1
