Layers                 ,layer 1,layer 2,layer 3,layer 4,layer 5,layer 6,layer 7,layer 8,layer 9,layer 10,layer 11,layer 12,layer 13,layer 14,layer 15,layer 16,layer 17,layer 18,layer 19,layer 20,core
layer_thickness        ,.1,.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
layer_depth            ,.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,.9,1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55
organic_fraction       ,0.009,0.009,0.004,0.004,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
mineral_fraction       ,0.402,0.402,0.468,0.468,0.468,0.468,0.466,0.466,0.459,0.459,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,1
initial_water_fraction ,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
initial_soil_temp      ,275,275,275,275,275,275.375,275.75,276.125,276.5,276.875,277.25,277.625,278,278.375,278.75,279.125,279.5,279.875,280.25,280.625,281
initial_ice_proportion ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
%_of_sand_in_soil_layer,69,69,63,63,63,64,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
%_of_clay_in_soil_layer,5,5,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
snow_water_equivalent  ,0,,,,,,,,,,,,,,,,,,,,
depth_of_snow          ,0,,,,,,,,,,,,,,,,,,,,

