 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
001,-.3774289,-.9942296,.2386234,.0527565,-.5249652,-.0427471,4.7037387,1.0921378,.3697136,.1862757,2.8000560
002,-.1698588,-.4770583,.4184606,.0769987,-.4140510,-.0418423,4.7038328,1.0921378,.3697150,.3345863,2.8000000
003,-.3684563,-1.0203439,.1305305,.0740715,-.4922470,-.0411470,4.7038328,1.0921371,.3697150,.1003727,2.8000000
004,-.2144869,-.5671711,.3651942,.1190484,-.4771249,-.0416451,4.7038328,1.0921371,.3697150,.2876250,2.8000000
005,.4931644,1.2235624,.8392334,.1546732,-.0000000,-.0418508,4.7038328,1.0921372,.3697150,.6513721,2.8000000
006,.6338003,1.5701493,.9168710,.2639322,.0000000,-.0419963,4.7038328,1.0921372,.3697150,.7538439,2.8000000
007,.0121873,-.0500805,.1901058,.0477373,-.1114292,-.0401028,4.7038328,1.0921373,.3697150,.1573465,2.8000000
008,-.4756970,-1.2841713,.0844281,.0310493,-.5386028,-.0400984,4.7038328,1.0921371,.3697150,.0631250,2.8000000
009,-.2180678,-.5440723,.4005959,.1058106,-.4848365,-.0416653,4.7038328,1.0921371,.3697150,.3157256,2.8000000
010,-.4466026,-1.1113843,.2289972,.0735206,-.6121417,-.0417140,4.7038328,1.0921371,.3697150,.1842806,2.8000000
011,-.5534881,-1.5616465,.0064507,.0160038,-.5719792,-.0400886,4.7038328,1.0921371,.3697150,.0092826,2.8000000
012,-.2952024,-.8215525,.0755659,.0242561,-.3475629,-.0419843,4.7038328,1.0921371,.3697150,.0559236,2.8000000
013,.0643378,.1603143,.1245462,.0143448,.0000000,-.0422025,4.7038328,1.0921372,.3697150,.1002598,2.8000000
014,-.0074379,-.0218093,.0246944,.0165755,-.0328154,-.0400927,4.7038328,1.0921373,.3697150,.0194170,2.8000000
015,.0989490,.2805205,.1550621,.0600239,-.0133626,-.0400940,4.7038328,1.0921374,.3697150,.1140373,2.8000000
016,-.3527357,-.9429106,.2024013,.0450919,-.4771644,-.0429461,4.7038328,1.0921374,.3697150,.1581942,2.8000000
017,-.5054236,-1.3361700,.1108401,.0205960,-.5695971,-.0400958,4.7038328,1.0921374,.3697150,.0936533,2.8000000
018,-.3449995,-.9864395,.1721400,.0339283,-.4407977,-.0401010,4.7038328,1.0921375,.3697150,.1367653,2.8000000
019,-.2728982,-.7891767,.2095575,.0442021,-.3946131,-.0401046,4.7038328,1.0921375,.3697150,.1643776,2.8000000
020,-.4006466,-1.1430039,.0950632,.0248516,-.4607874,-.0400998,4.7038328,1.0921375,.3697150,.0749200,2.8000000
021,-.3374493,-.9566686,.1645363,.0384209,-.4327813,-.0401017,4.7038328,1.0921375,.3697150,.1332539,2.8000000
022,-.0310893,-.1203569,.4811593,.1135015,-.3317625,-.0419493,4.7038328,1.0921376,.3697150,.3544502,2.8000000
023,.1557204,.3847985,1.1018313,.1847201,-.4730151,-.0431225,4.7038328,1.0921376,.3697150,.8894752,2.8000000
024,-.1458779,-.4199353,.5721188,.0970039,-.4706115,-.0420153,4.7038328,1.0921375,.3697150,.4675190,2.8000000
025,-.1125064,-.3799196,.4837985,.0842941,-.3850300,-.0401034,4.7038328,1.0921375,.3697150,.3863804,2.8000000
026,-.2235950,-.6338920,.2412403,.0540679,-.3616003,-.0401004,4.7038328,1.0921374,.3697150,.1936048,2.8000000
027,-.2705899,-.7671222,.1786979,.0427278,-.3757614,-.0400997,4.7038328,1.0921375,.3697150,.1392009,2.8000000
028,-.4635434,-1.2708563,.0221852,.0104412,-.4822224,-.0401041,4.7038328,1.0921377,.3697150,.0197789,2.8000000
029,-.4065252,-1.1028101,.1358636,.0379872,-.4979211,-.0428049,4.7038328,1.0921378,.3697150,.0924445,2.8000000
030,-.3266766,-.8829932,.1994037,.0390761,-.4448753,-.0401102,4.7038328,1.0921380,.3697150,.1690946,2.8000000
031,-.3408724,-.8912724,.2017675,.0522386,-.4690091,-.0438453,4.7038328,1.0921383,.3697149,.1600787,2.8000000
032,-.2122009,-.5724868,.4528408,.0585183,-.4518550,-.0472008,4.7038328,1.0921391,.3697149,.3618482,2.8000000
033,-.5664068,-1.4152614,.1122657,.0101954,-.6215808,-.0505024,4.7038328,1.0921408,.3697148,.0889696,2.8000000
034,-.1671927,-.4173426,.4453108,.0472535,-.3933449,-.0475717,4.7038328,1.0921394,.3697149,.3413048,2.8000000
035,-.3257525,-.8947781,.1167725,.0280513,-.3958352,-.0401543,4.7038328,1.0921388,.3697149,.1018207,2.8000000
036,-.1221251,-.3626070,.3738812,.0730467,-.3342397,-.0401647,4.7038328,1.0921385,.3697149,.2909827,2.8000000
037,.0111796,-.0032556,.5797775,.1035993,-.3193711,-.0418979,4.7038328,1.0921383,.3697150,.4557462,2.8000000
038,.1847421,.4561301,1.0538937,.1923469,-.4326119,-.0435186,4.7038328,1.0921381,.3697150,.8261693,2.8000000
039,.2938427,.7253685,1.1783925,.2111292,-.3927905,-.0433360,4.7038328,1.0921381,.3697150,.9674439,2.8000000
040,-.1560533,-.4087632,.3430460,.0749368,-.3604219,-.0401488,4.7038328,1.0921380,.3697150,.2696424,2.8000000
041,-.0635582,-.1801874,.2882284,.0864610,-.2494362,-.0401407,4.7038328,1.0921379,.3697150,.2318048,2.8000000
042,-.1165414,-.3432560,.3409381,.0939345,-.3294580,-.0401405,4.7038328,1.0921378,.3697150,.2671259,2.8000000
043,-.0425423,-.1478156,.7751172,.1123434,-.4642472,-.0423752,4.7038328,1.0921375,.3697150,.6122670,2.8000000
044,.0122022,.0256159,.6960868,.1250934,-.3898649,-.0401164,4.7038328,1.0921374,.3697150,.5560802,2.8000000
045,-.1681364,-.4766667,.1689713,.0702025,-.2975243,-.0401134,4.7038328,1.0921374,.3697150,.1444093,2.8000000
046,-.0939964,-.2664799,.1536380,.0912760,-.2390232,-.0401180,4.7038328,1.0921373,.3697150,.1148080,2.8000000
047,.0241791,.0685476,.2176144,.1255362,-.1781171,-.0401110,4.7038328,1.0921371,.3697150,.1747531,2.8000000
048,-.0535321,-.1517635,.0415629,.0493238,-.1175165,-.0400999,4.7038328,1.0921370,.3697150,.0324210,2.8000000
049,.0508185,.1440704,.1028158,.0869967,-.0724448,-.0401021,4.7038328,1.0921369,.3697150,.0761585,2.8000000
050,.1335512,.3786177,.2617032,.1628188,-.1179500,-.0400972,4.7038328,1.0921369,.3697150,.1997843,2.8000000
051,.1767670,.4599866,.3789663,.1925327,-.1540210,-.0400965,4.7038328,1.0921369,.3697150,.3039111,2.8000000
052,-.0858563,-.2988872,.4138982,.0911198,-.3381013,-.0400962,4.7038328,1.0921369,.3697150,.3306074,2.8000000
053,-.0527073,-.1625452,.4591183,.0990764,-.3315131,-.0400955,4.7038328,1.0921369,.3697150,.3650862,2.8000000
054,-.0547727,-.1385969,.5790724,.1065053,-.3939234,-.0400949,4.7038328,1.0921369,.3697150,.4612672,2.8000000
055,-.0888269,-.2941783,.3649637,.1077379,-.3338455,-.0400944,4.7038328,1.0921369,.3697150,.2891008,2.8000000
056,-.0135861,-.0795657,.5028567,.1324730,-.3378044,-.0400936,4.7038328,1.0921369,.3697150,.3970329,2.8000000
057,.0101657,.0040695,.7007232,.1822533,-.4550907,-.0414694,4.7038328,1.0921369,.3697150,.5564144,2.8000000
058,-.1505351,-.3754115,.1316801,-.0071126,-.1962871,-.0415472,4.7038328,1.0921369,.3697150,.1140042,2.8000000
059,-.3087785,-.7908648,.1538105,.0385339,-.4060894,-.0400968,4.7038328,1.0921369,.3697150,.1150331,2.8000000
060,.2225372,.5362405,.7387998,.1799508,-.2520970,-.0416324,4.7038328,1.0921369,.3697150,.5762616,2.8000000
061,.1947215,.4757544,.5939825,.1787467,-.2150526,-.0400958,4.6954479,1.0921369,.3695907,.4765920,2.8050001
062,-.0222890,-.1170364,.4576248,.1380822,-.3341744,-.0400950,4.6870930,1.0921367,.3694664,.3711863,2.8100001
063,.2775599,.6735418,.5593015,.2772544,-.2193512,-.0400723,4.6787678,1.0921365,.3693422,.4359132,2.8150001
064,.5042185,1.2572250,.6873354,.4107567,-.1870842,-.0410043,4.6704721,1.0921362,.3692181,.5466586,2.8200001
065,.0211376,.0084369,.5092826,.2274247,-.4094517,-.0400496,4.6622057,1.0921362,.3690941,.4134878,2.8250001
066,-.0123225,-.1073182,.3903936,.1717229,-.3349233,-.0400507,4.6539686,1.0921362,.3689702,.3107775,2.8300001
067,-.3054590,-.8687672,.1459410,.0734280,-.4337033,-.0400536,4.6457606,1.0921363,.3688463,.1194902,2.8350001
068,-.2111425,-.5985891,.0805138,.0639316,-.3034741,-.0400565,4.6375814,1.0921363,.3687225,.0619978,2.8400001
