Time (days),up1,up2,up3,up4,up5,up6,up7,up8,up9,up10,up11,up12,up13,up14,up15
1.98,.1916409,.1624163,.1383978,.1174156,.0996173,.0845145,.0716919,.0608229,.0515959,.0113929,.0104938,.0000000,.0000000,.0000000,.0000000
2.98,.0000000,.2009215,.1712085,.1452519,.1232343,.1045510,.0886878,.0752420,.0638277,.0140938,.0129816,.0000000,.0000000,.0000000,.0000000
3.98,.0000000,.2011922,.1711491,.1452015,.1231904,.1045137,.0886601,.0752185,.0638077,.0140894,.0129775,.0000000,.0000000,.0000000,.0000000
4.98,.1918590,.1625508,.1383210,.1173504,.0995611,.0844668,.0716548,.0607914,.0515692,.0113870,.0104884,.0000000,.0000000,.0000000,.0000000
5.98,.1918019,.1625406,.1383356,.1173628,.0995716,.0844757,.0716620,.0607975,.0515747,.0113882,.0104895,.0000000,.0000000,.0000000,.0000000
6.98,.1917708,.1625239,.1383457,.1173714,.0995790,.0844820,.0716674,.0608020,.0515785,.0113891,.0104903,.0000000,.0000000,.0000000,.0000000
7.98,.0000000,.0000000,.2142550,.1817722,.1542179,.1308372,.1109906,.0941635,.0798792,.0176382,.0162462,.0000000,.0000000,.0000000,.0000000
8.98,.0000000,.0000000,.2142548,.1817721,.1542176,.1308369,.1109909,.0941638,.0798794,.0176382,.0162463,.0000000,.0000000,.0000000,.0000000
9.98,.1918779,.1625252,.1383221,.1173513,.0995621,.0844677,.0716556,.0607920,.0515703,.0113873,.0104886,.0000000,.0000000,.0000000,.0000000
10.98,.1918292,.1625566,.1383262,.1173548,.0995646,.0844698,.0716573,.0607935,.0515716,.0113876,.0104889,.0000000,.0000000,.0000000,.0000000
11.98,.0000000,.0000000,.2142550,.1817722,.1542168,.1308362,.1109909,.0941638,.0798802,.0176384,.0162464,.0000000,.0000000,.0000000,.0000000
12.98,.1917450,.1625517,.1383453,.1173710,.0995784,.0844815,.0716669,.0608016,.0515790,.0113892,.0104904,.0000000,.0000000,.0000000,.0000000
13.98,.1916841,.1625410,.1383606,.1173841,.0995895,.0844909,.0716746,.0608081,.0515850,.0113905,.0104916,.0000000,.0000000,.0000000,.0000000
14.98,.0000000,.0000000,.2142552,.1817724,.1542170,.1308365,.1109894,.0941625,.0798815,.0176387,.0162467,.0000000,.0000000,.0000000,.0000000
15.98,.0000000,.0000000,.2142549,.1817721,.1542171,.1308365,.1109889,.0941620,.0798826,.0176389,.0162469,.0000000,.0000000,.0000000,.0000000
