 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),modess,runoff,ppt,trans,delw,disc,cwtr,check,diff,modwet,unint,canst,snow_watermm
001,.0527565,.0000000,2.7940000,.0955427,43.9500000,.0000000,362.9500000,71.0125677,-43.9500000,-.5249652,71.1608669,.1440044,.0771551
002,.0769987,.0000000,.2540000,.1677401,-.2000000,.0000000,362.7500000,7.9104963,.2000000,-.4140510,8.1552351,-7.4193570,.1358844
003,.0740715,.0000000,2.5400000,.0521628,8.3000000,.0000000,371.0500000,9.8303079,-8.3000000,-.4922470,9.9565422,-5.6300397,.5166862
004,.1190484,.0000000,.0410000,.1462718,-.5000000,.0000000,370.5500000,.3280682,.5000000,-.4771249,.5933884,.2800000,.0446004
005,.1546732,.0000000,.0000000,.3382424,-.9500000,.0000000,369.6000000,-.4610399,.9500000,-.0000000,.0318758,.2800000,.0000000
006,.2639322,.0000000,.0000000,.3696088,-1.0000000,.0000000,368.6000000,-.6335409,1.0000000,.0000000,.0000000,.2800000,.0000000
007,.0477373,.0000000,1.5240000,.0762397,-.8500000,.0000000,367.7500000,105.2627563,.8500000,-.1114292,105.3867332,-78.7761154,.4862846
008,.0310493,.0000000,.0000000,.0337563,2.2000000,.0000000,369.9500000,.0972010,-2.2000000,-.5386028,.1620065,-78.5698019,1.6519949
009,.1058106,127966.1078112,5.5880000,.1608261,.6500000,.0000000,370.6000000,634.6803389,-.6500000,-.4848365,128601.0547867,-85871.9155616,.0129767
010,.0735206,600444.7048673,39.8780000,.0919983,.3000000,.0000000,370.9000000,2960.7379329,-.3000000,-.6121417,603405.6083191,-221.5069482,.0000000
011,.0160038,2666.8882149,.2540000,.0025802,-.2500000,.0000000,370.6500000,88.0002668,.2500000,-.5719792,2754.9070656,-2754.6398333,.7983159
012,.0242561,.0000000,4.8260000,.0302319,-.6500000,.0000000,370.0000000,6.0935168,.6500000,-.3475629,6.1480047,.6040118,.3235477
013,.0143448,.0000000,13.9700000,.0499803,-.6000000,.0000000,369.4000000,14.3160436,.6000000,.0000000,14.3803687,.4758372,.0000000
014,.0165755,.0000000,1.2700000,.0098492,-.3500000,.0000000,369.0500000,1.4406747,.3500000,-.0328154,1.4670994,.2787379,3.0795532
015,.0600239,.0000000,.0000000,.0618219,-.4000000,.0000000,368.6500000,-.1218457,.4000000,-.0133626,.0000000,.0844200,3.2765111
016,.0450919,119.7614510,2.2860000,.0811626,-.0500000,.0000000,368.6000000,182.5935938,.0500000,-.4771644,302.4812993,-144.1471418,.2800241
017,.0205960,267.6375885,14.7320000,.0444204,.3000000,.0000000,368.9000000,243.4235229,-.3000000,-.5695971,511.1261278,-5.4167362,.5005475
018,.0339283,.0000000,.0000000,.0687966,.2500000,.0000000,369.1500000,-.1027249,-.2500000,-.4407977,.0000000,-5.4167362,1.1961602
019,.0442021,.0000000,.0000000,.0837721,.1000000,.0000000,369.2500000,-.1279742,-.1000000,-.3946131,.0000000,-5.4167362,1.5907540
020,.0248516,.0000000,.2540000,.0380025,1.0500000,.0000000,370.3000000,2.1486414,-1.0500000,-.4607874,2.2114955,-1.9574955,2.3070711
021,.0384209,.0000000,.0000000,.0657224,.4500000,.0000000,370.7500000,-.1041433,-.4500000,-.4327813,.0000000,-1.9574955,2.7372872
022,.1135015,.0000000,.0000000,.1928437,-.3500000,.0000000,370.4000000,2.0997136,.3500000,-.3317625,2.4060589,-1.8156226,.2599839
023,.1847201,.0000000,.0000000,.4438609,-.0000000,.0000000,370.4000000,-.4035225,.0000000,-.4730151,.2250585,-1.3589642,.0000000
024,.0970039,.0000000,.0000000,.2297494,1.0500000,.0000000,371.4500000,-.2615359,-1.0500000,-.4706115,.0652174,-1.0876941,.1381142
025,.0842941,.0000000,.0200000,.1940498,.9000000,.0000000,372.3500000,-.0065029,-.9000000,-.3850300,.2718410,.0004342,.2472248
026,.0540679,.0000000,.0000000,.0963555,.8500000,.0000000,373.2000000,-.1504234,-.8500000,-.3616003,.0000000,.0001479,.6059968
027,.0427278,.0000000,.0000000,.0713677,-.2000000,.0000000,373.0000000,-.1140956,.2000000,-.3757614,.0000000,.0000721,.9803839
028,.0104412,646.4127001,3.0480000,.0088609,-.6000000,.0000000,372.4000000,256.9422062,.6000000,-.4822224,903.3742083,-43.7610669,1.9983555
029,.0379872,298357.1010904,7.8740000,.0545267,-.7500000,.0000000,371.6500000,330.3161232,.7500000,-.4979211,298687.5097275,-2651.6837644,.2782106
030,.0390761,474218.7021666,17.7800000,.0799646,-.6500000,.0000000,371.0000000,835.0715847,.6500000,-.4448753,475053.8927920,-40.5069309,1.2448294
031,.0522386,272161.2539438,28.4480000,.0806498,-.9500000,.0000000,370.0500000,1089.6016226,.9500000,-.4690091,273250.9884548,-20.2534654,.2661934
032,.0585183,.0000000,1.7780000,.1816491,-1.6500000,.0000000,368.4000000,9.2258897,1.6500000,-.4518550,9.4660571,-1.1713095,.0673302
033,.0101954,.0000000,10.1600000,.0449613,-2.1500000,.0000000,366.2500000,149.6261663,2.1500000,-.6215808,149.6813230,-3.9839057,.0000000
034,.0472535,.0000000,1.0160000,.1789162,-.2500000,.0000000,366.0000000,10.4143703,.2500000,-.3933449,10.6405400,.2800000,.0000000
