 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
001,-.3776280,-.9947233,.2381318,.0527565,-.5249661,-.0427471,4.7037387,1.0921378,.3697136,.1858843,2.8000560
002,-.1735640,-.4862901,.4092209,.0769987,-.4140479,-.0418423,4.7038328,1.0921378,.3697150,.3271678,2.8000000
003,-.3670615,-1.0165187,.1343310,.0740715,-.4922381,-.0411470,4.7038328,1.0921371,.3697150,.1034075,2.8000000
004,-.2156484,-.5693184,.3630221,.1190484,-.4771162,-.0416451,4.7038328,1.0921371,.3697150,.2858811,2.8000000
005,.4576114,1.1354030,.7510731,.1546732,-.0000000,-.0418508,4.7038328,1.0921372,.3697150,.5803460,2.8000000
006,.6621062,1.6403240,.9870464,.2639322,-.0000000,-.0419963,4.7038328,1.0921372,.3697150,.8103296,2.8000000
007,.0091661,-.0576196,.1825900,.0477373,-.1114384,-.0401028,4.7038328,1.0921373,.3697150,.1513246,2.8000000
008,-.4751757,-1.2828083,.0857903,.0310493,-.5386025,-.0400984,4.7038328,1.0921371,.3697150,.0642094,2.8000000
009,-.2237406,-.5581870,.3864834,.1058106,-.4848373,-.0416653,4.7038328,1.0921371,.3697150,.3044211,2.8000000
010,-.4467195,-1.1116704,.2287230,.0735206,-.6121465,-.0417140,4.7038328,1.0921371,.3697150,.1840441,2.8000000
011,-.5534993,-1.5616784,.0064218,.0160038,-.5719802,-.0400886,4.7038328,1.0921371,.3697150,.0092486,2.8000000
012,-.2942317,-.8188241,.0782673,.0242561,-.3475534,-.0419843,4.7038328,1.0921371,.3697150,.0580802,2.8000000
013,.0653690,.1628819,.1271138,.0143448,.0000000,-.0422025,4.7038328,1.0921372,.3697150,.1023217,2.8000000
014,-.0074695,-.0218986,.0246050,.0165755,-.0328154,-.0400927,4.7038328,1.0921373,.3697150,.0193472,2.8000000
015,.1032876,.2928204,.1672641,.0600239,-.0133280,-.0400940,4.7038328,1.0921374,.3697150,.1237455,2.8000000
016,-.3521408,-.9414393,.2038821,.0450919,-.4771683,-.0429461,4.7038328,1.0921374,.3697150,.1594064,2.8000000
017,-.5039651,-1.3325351,.1144624,.0205960,-.5695920,-.0400958,4.7038328,1.0921374,.3697150,.0965531,2.8000000
018,-.3403963,-.9737810,.1847869,.0339283,-.4407936,-.0401010,4.7038328,1.0921375,.3697150,.1468575,2.8000000
019,-.2683694,-.7768845,.2218351,.0442021,-.3946079,-.0401046,4.7038328,1.0921375,.3697150,.1741876,2.8000000
020,-.3995808,-1.1403453,.0977248,.0248516,-.4607884,-.0400998,4.7038328,1.0921375,.3697150,.0770617,2.8000000
021,-.3321393,-.9416148,.1795442,.0384209,-.4327651,-.0401017,4.7038328,1.0921375,.3697150,.1452349,2.8000000
022,-.0245199,-.1030523,.4984165,.1135015,-.3317452,-.0419493,4.7038328,1.0921376,.3697150,.3683466,2.8000000
023,.1459383,.3605558,1.0776481,.1847201,-.4730391,-.0431225,4.7038328,1.0921376,.3697150,.8700629,2.8000000
024,-.1557078,-.4442601,.5477993,.0970039,-.4706140,-.0420153,4.7038328,1.0921375,.3697150,.4479494,2.8000000
025,-.1135806,-.3821972,.4815136,.0842941,-.3850274,-.0401034,4.7038328,1.0921375,.3697150,.3845054,2.8000000
026,-.2178890,-.6177152,.2574085,.0540679,-.3615973,-.0401004,4.7038328,1.0921374,.3697150,.2064920,2.8000000
027,-.2657110,-.7532907,.1925124,.0427278,-.3757555,-.0400997,4.7038328,1.0921375,.3697150,.1502226,2.8000000
028,-.4636297,-1.2711009,.0219453,.0104412,-.4822241,-.0401041,4.7038328,1.0921377,.3697150,.0196113,2.8000000
029,-.4059579,-1.1013958,.1372702,.0379872,-.4979180,-.0428049,4.7038328,1.0921378,.3697150,.0935658,2.8000000
030,-.3243137,-.8771066,.2052893,.0390761,-.4448749,-.0401102,4.7038328,1.0921380,.3697150,.1738112,2.8000000
031,-.3242044,-.8487179,.2443221,.0522386,-.4690091,-.0438453,4.7038328,1.0921383,.3697149,.1941131,2.8000000
032,-.1852468,-.5053256,.5200007,.0585183,-.4518545,-.0472008,4.7038328,1.0921391,.3697149,.4156445,2.8000000
033,-.5649754,-1.4116890,.1158328,.0101954,-.6215787,-.0505024,4.7038328,1.0921408,.3697148,.0919362,2.8000000
034,-.1741651,-.4346615,.4279918,.0472535,-.3933449,-.0475717,4.7038328,1.0921394,.3697149,.3274543,2.8000000
035,-.3241979,-.8903709,.1211732,.0280513,-.3958329,-.0401543,4.7038328,1.0921388,.3697149,.1052586,2.8000000
036,-.1088588,-.3272724,.4092045,.0730467,-.3342353,-.0401647,4.7038328,1.0921385,.3697149,.3191704,2.8000000
037,.0181434,.0149997,.5980202,.1035993,-.3193666,-.0418979,4.7038328,1.0921383,.3697150,.4703209,2.8000000
038,.2121133,.5239597,1.1216777,.1923469,-.4325936,-.0435186,4.7038328,1.0921381,.3697150,.8807319,2.8000000
039,.3084218,.7615123,1.2145642,.2111292,-.3928018,-.0433360,4.7038328,1.0921381,.3697150,.9969381,2.8000000
040,-.1528796,-.4000710,.3517339,.0749368,-.3604204,-.0401488,4.7038328,1.0921380,.3697150,.2764554,2.8000000
041,-.0514904,-.1459753,.3224187,.0864610,-.2494285,-.0401407,4.7038328,1.0921379,.3697150,.2589595,2.8000000
042,-.1083221,-.3203911,.3637880,.0939345,-.3294527,-.0401405,4.7038328,1.0921378,.3697150,.2854021,2.8000000
