 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),modess,runoff,ppt,trans,delw,disc,cwtr,check,diff,modwet,unint,canst,snow_watermm
001,.0527565,.0000000,2.7940000,.0953445,43.9500000,.0000000,362.9500000,71.0127659,-43.9500000,-.5249661,71.1608669,.1440060,.0771551
002,.0769987,.0000000,.2540000,.1640316,-.2000000,.0000000,362.7500000,7.9142048,.2000000,-.4140479,8.1552351,-7.4193585,.1358844
003,.0740715,.0000000,2.5400000,.0536811,8.3000000,.0000000,371.0500000,9.8287896,-8.3000000,-.4922381,9.9565422,-5.6300400,.5166786
004,.1190484,.0000000,.0410000,.1453903,-.5000000,.0000000,370.5500000,.3289359,.5000000,-.4771162,.5933746,.2800000,.0445993
005,.1546732,.0000000,.0000000,.3026867,-.9500000,.0000000,369.6000000,-.4254849,.9500000,-.0000000,.0318750,.2800000,.0000000
006,.2639322,.0000000,.0000000,.3979107,-1.0000000,.0000000,368.6000000,-.6618429,1.0000000,-.0000000,.0000000,.2800000,.0000000
007,.0477373,.0000000,1.5240000,.0732219,-.8500000,.0000000,367.7500000,105.2657741,.8500000,-.1114384,105.3867332,-78.7761154,.4862855
008,.0310493,.0000000,.0000000,.0343010,2.2000000,.0000000,369.9500000,.0966563,-2.2000000,-.5386025,.1620066,-78.5698021,1.6519957
009,.1058106,127966.1082231,5.5880000,.1551540,.6500000,.0000000,370.6000000,634.6855997,-.6500000,-.4848373,128601.0547874,-85871.9155616,.0129767
010,.0735206,600444.7047670,39.8780000,.0918862,.3000000,.0000000,370.9000000,2960.7381453,-.3000000,-.6121465,603405.6083191,-221.5069482,.0000000
011,.0160038,2666.8882149,.2540000,.0025686,-.2500000,.0000000,370.6500000,88.0002784,.2500000,-.5719802,2754.9070656,-2754.6398333,.7983169
012,.0242561,.0000000,4.8260000,.0313108,-.6500000,.0000000,370.0000000,6.0924312,.6500000,-.3475534,6.1479981,.6040118,.3235465
013,.0143448,.0000000,13.9700000,.0510114,-.6000000,.0000000,369.4000000,14.3150114,.6000000,.0000000,14.3803677,.4758372,.0000000
