 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
001,-.4141783,-1.0891466,.1442564,.0527565,-.5251761,-.0427471,.2613188,2.1842729,.8761946,.1170860,2.8000560
002,-.2310828,-.6313364,.2644010,.0769987,-.4141374,-.0418423,.2613240,2.1842729,.8762103,.2103519,2.8000000
003,-.3929683,-1.0874757,.0637253,.0740715,-.4923649,-.0411470,.2613240,2.1842721,.8762105,.0440110,2.8000000
004,-.2772879,-.7281737,.2045445,.1190484,-.4772543,-.0416451,.2613240,2.1842722,.8762105,.1633129,2.8000000
005,.3459676,.8581305,.4737987,.1546732,.0000000,-.0418508,.2613240,2.1842722,.8762105,.3461046,2.8000000
006,.5234620,1.2962245,.6429450,.2639322,.0000000,-.0419963,.2613240,2.1842723,.8762105,.5614799,2.8000000
007,-.0120107,-.1099219,.1302784,.0477373,-.1114388,-.0401028,.2613240,2.1842724,.8762105,.1127464,2.8000000
008,-.4813666,-1.2974997,.0712848,.0310493,-.5386787,-.0400984,.2613240,2.1842722,.8762105,.0516602,2.8000000
009,-.2853489,-.7116840,.2333759,.1058106,-.4849936,-.0416653,.2613240,2.1842721,.8762105,.1845022,2.8000000
010,-.4836751,-1.2036220,.1369742,.0735206,-.6122280,-.0417140,.2613240,2.1842721,.8762105,.1126942,2.8000000
011,-.5547221,-1.5646503,.0033399,.0160038,-.5719417,-.0400886,.2613240,2.1842722,.8762105,.0114808,2.8000000
012,-.3044211,-.8451139,.0519946,.0242561,-.3475596,-.0419843,.2613240,2.1842722,.8762105,.0366538,2.8000000
013,.0533072,.1327975,.0970294,.0143448,.0000000,-.0422025,.2613240,2.1842723,.8762105,.0799087,2.8000000
014,.0012470,.0032048,.0497085,.0165755,-.0328154,-.0400927,.2613240,2.1842724,.8762105,.0415123,2.8000000
015,.0758632,.2150721,.0903547,.0600239,-.0136240,-.0400940,.2613240,2.1842725,.8762104,.0583553,2.8000000
016,-.3839213,-1.0228603,.1229559,.0450919,-.4773479,-.0429461,.2613240,2.1842725,.8762104,.1019738,2.8000000
017,-.5145741,-1.3605161,.0864837,.0205960,-.5695938,-.0400958,.2613240,2.1842725,.8762104,.0835629,2.8000000
018,-.3640602,-1.0388284,.1197439,.0339283,-.4407952,-.0401010,.2613240,2.1842726,.8762104,.0950244,2.8000000
019,-.3018385,-.8681178,.1307107,.0442021,-.3946464,-.0401046,.2613240,2.1842726,.8762104,.1019269,2.8000000
020,-.4149884,-1.1829627,.0551501,.0248516,-.4608035,-.0400998,.2613240,2.1842726,.8762104,.0445397,2.8000000
021,-.3558025,-1.0087000,.1126050,.0384209,-.4328166,-.0401017,.2613240,2.1842726,.8762104,.0959418,2.8000000
022,-.1180376,-.3424638,.2602495,.1135015,-.3322365,-.0419493,.2613240,2.1842727,.8762104,.1604518,2.8000000
023,-.0147096,-.0387918,.6811252,.1847201,-.4741745,-.0431225,.2613240,2.1842726,.8762104,.5702497,2.8000000
024,-.2267153,-.6246428,.3682241,.0970039,-.4709301,-.0420153,.2613240,2.1842726,.8762104,.3143769,2.8000000
025,-.1713531,-.5338805,.3302164,.0842941,-.3851641,-.0401034,.2613240,2.1842725,.8762104,.2632446,2.8000000
026,-.2530399,-.7173681,.1578190,.0540679,-.3616196,-.0401004,.2613240,2.1842725,.8762104,.1315392,2.8000000
027,-.2928500,-.8302298,.1156858,.0427278,-.3757951,-.0400997,.2613240,2.1842726,.8762104,.0903351,2.8000000
028,-.4645033,-1.2727151,.0202734,.0104412,-.4822035,-.0401041,.2613240,2.1842728,.8762103,.0192293,2.8000000
029,-.4388124,-1.1843993,.0545060,.0379872,-.4980147,-.0428049,.2613240,2.1842729,.8762103,.0199020,2.8000000
030,-.3595580,-.9653109,.1172421,.0390761,-.4449394,-.0401102,.2613240,2.1842731,.8762102,.1173082,2.8000000
031,-.3626839,-.9519653,.1411619,.0522386,-.4690396,-.0438453,.2613240,2.1842734,.8762101,.1141980,2.8000000
032,-.2468687,-.6597784,.3655887,.0585183,-.4518714,-.0472008,.2613240,2.1842742,.8762098,.2945114,2.8000000
033,-.5728591,-1.4313746,.0961028,.0101954,-.6215610,-.0505025,.2613240,2.1842759,.8762092,.0761705,2.8000000
034,-.2374996,-.5922605,.2703855,.0472535,-.3933415,-.0475717,.2613240,2.1842745,.8762097,.1948955,2.8000000
035,-.3431191,-.9419956,.0696131,.0280513,-.3958563,-.0401543,.2613240,2.1842738,.8762099,.0752209,2.8000000
036,-.1715945,-.4964547,.2406773,.0730467,-.3344732,-.0401647,.2613240,2.1842736,.8762100,.1826738,2.8000000
037,-.0772405,-.2309991,.3528156,.1035993,-.3196685,-.0418979,.2613240,2.1842733,.8762101,.2763325,2.8000000
038,.0510878,.1238299,.7240655,.1923469,-.4336063,-.0435186,.2613240,2.1842732,.8762101,.5522439,2.8000000
039,.1604649,.3943334,.8492019,.2111292,-.3935331,-.0433360,.2613240,2.1842732,.8762102,.7346338,2.8000000
040,-.2017004,-.5306215,.2213161,.0749368,-.3604664,-.0401488,.2613240,2.1842731,.8762102,.1641708,2.8000000
041,-.1005132,-.2849548,.1836479,.0864610,-.2495021,-.0401407,.2613240,2.1842730,.8762102,.1528671,2.8000000
042,-.1642459,-.4759820,.2088546,.0939345,-.3296846,-.0401405,.2613240,2.1842728,.8762103,.1619109,2.8000000
043,-.1655186,-.4583116,.4657649,.1123434,-.4646969,-.0423752,.2613240,2.1842726,.8762104,.3633350,2.8000000
044,-.1028428,-.2665170,.4051859,.1250934,-.3903507,-.0401164,.2613240,2.1842725,.8762104,.3246528,2.8000000
