Time (days),up1,up2,up3,up4,up5,up6,up7,up8,up9,up10,up11,up12,up13,up14,up15
1.98,.1916408,.1624163,.1383977,.1174155,.0996172,.0845144,.0716921,.0608230,.0515961,.0113930,.0104939,.0000000,.0000000,.0000000,.0000000
2.98,.0000000,.2009214,.1712083,.1452517,.1232341,.1045508,.0886880,.0752421,.0638280,.0140939,.0129816,.0000000,.0000000,.0000000,.0000000
3.98,.0000000,.2011922,.1711489,.1452014,.1231903,.1045136,.0886602,.0752186,.0638079,.0140895,.0129776,.0000000,.0000000,.0000000,.0000000
4.98,.1918590,.1625508,.1383209,.1173503,.0995610,.0844668,.0716549,.0607914,.0515694,.0113871,.0104884,.0000000,.0000000,.0000000,.0000000
5.98,.1918018,.1625406,.1383354,.1173627,.0995715,.0844756,.0716621,.0607975,.0515748,.0113883,.0104895,.0000000,.0000000,.0000000,.0000000
6.98,.1917707,.1625239,.1383456,.1173713,.0995789,.0844819,.0716674,.0608021,.0515787,.0113891,.0104903,.0000000,.0000000,.0000000,.0000000
7.98,.0000000,.0000000,.2142548,.1817720,.1542177,.1308371,.1109907,.0941636,.0798794,.0176382,.0162463,.0000000,.0000000,.0000000,.0000000
8.98,.0000000,.0000000,.2142546,.1817719,.1542174,.1308368,.1109911,.0941639,.0798797,.0176383,.0162463,.0000000,.0000000,.0000000,.0000000
9.98,.1918778,.1625252,.1383220,.1173512,.0995621,.0844676,.0716556,.0607921,.0515705,.0113873,.0104887,.0000000,.0000000,.0000000,.0000000
10.98,.1918292,.1625566,.1383261,.1173547,.0995645,.0844697,.0716574,.0607936,.0515717,.0113876,.0104889,.0000000,.0000000,.0000000,.0000000
11.98,.0000000,.0000000,.2142548,.1817721,.1542166,.1308361,.1109910,.0941639,.0798805,.0176385,.0162465,.0000000,.0000000,.0000000,.0000000
12.98,.1917449,.1625517,.1383452,.1173710,.0995783,.0844814,.0716670,.0608017,.0515791,.0113892,.0104904,.0000000,.0000000,.0000000,.0000000
13.98,.1916840,.1625410,.1383605,.1173839,.0995894,.0844908,.0716747,.0608082,.0515852,.0113906,.0104916,.0000000,.0000000,.0000000,.0000000
14.98,.0000000,.0000000,.2142550,.1817722,.1542169,.1308363,.1109896,.0941626,.0798818,.0176388,.0162467,.0000000,.0000000,.0000000,.0000000
15.98,.0000000,.0000000,.2142547,.1817719,.1542169,.1308364,.1109890,.0941622,.0798828,.0176390,.0162470,.0000000,.0000000,.0000000,.0000000
16.98,.1915465,.1624329,.1384127,.1174282,.0996274,.0845230,.0717008,.0608304,.0516068,.0113953,.0104960,.0000000,.0000000,.0000000,.0000000
17.98,.0000000,.0000000,.2142540,.1817714,.1542170,.1308364,.1109878,.0941611,.0798853,.0176395,.0162475,.0000000,.0000000,.0000000,.0000000
18.98,.0000000,.0000000,.2142543,.1817716,.1542174,.1308368,.1109866,.0941601,.0798860,.0176397,.0162476,.0000000,.0000000,.0000000,.0000000
19.98,.0000000,.0000000,.2142540,.1817713,.1542176,.1308370,.1109859,.0941596,.0798869,.0176399,.0162478,.0000000,.0000000,.0000000,.0000000
20.98,.0000000,.0000000,.2142541,.1817715,.1542172,.1308366,.1109857,.0941593,.0798875,.0176400,.0162479,.0000000,.0000000,.0000000,.0000000
21.98,.0000000,.0000000,.2142544,.1817717,.1542174,.1308368,.1109849,.0941587,.0798880,.0176401,.0162480,.0000000,.0000000,.0000000,.0000000
22.98,.2286559,.0000000,.1652632,.1402080,.1189548,.1009203,.0856077,.0726289,.0616217,.0136067,.0125329,.0000000,.0000000,.0000000,.0000000
23.98,.1916039,.1623212,.1384239,.1174377,.0996363,.0845306,.0717042,.0608333,.0516143,.0113970,.0104976,.0000000,.0000000,.0000000,.0000000
24.98,.0000000,.2008379,.1712235,.1452646,.1232449,.1045600,.0886944,.0752476,.0638445,.0140976,.0129850,.0000000,.0000000,.0000000,.0000000
25.98,.0000000,.0000000,.2142538,.1817712,.1542175,.1308368,.1109841,.0941580,.0798897,.0176405,.0162484,.0000000,.0000000,.0000000,.0000000
26.98,.0000000,.0000000,.2142542,.1817715,.1542173,.1308366,.1109839,.0941579,.0798897,.0176405,.0162484,.0000000,.0000000,.0000000,.0000000
27.98,.0000000,.0000000,.2142541,.1817715,.1542172,.1308366,.1109839,.0941578,.0798899,.0176406,.0162484,.0000000,.0000000,.0000000,.0000000
28.98,.0000000,.0000000,.2142543,.1817716,.1542175,.1308368,.1109832,.0941572,.0798903,.0176406,.0162485,.0000000,.0000000,.0000000,.0000000
29.98,.2283164,.0000000,.1653363,.1402700,.1190071,.1009647,.0856440,.0726596,.0616502,.0136130,.0125387,.0000000,.0000000,.0000000,.0000000
30.98,.0000000,.0000000,.2142542,.1817715,.1542178,.1308371,.1109825,.0941567,.0798908,.0176408,.0162486,.0000000,.0000000,.0000000,.0000000
31.98,.2279053,.0000000,.1654247,.1403450,.1190710,.1010189,.0856884,.0726974,.0616834,.0136204,.0125455,.0000000,.0000000,.0000000,.0000000
32.98,.1901037,.1624603,.1387162,.1176857,.0998466,.0847091,.0718531,.0609596,.0517245,.0114213,.0105200,.0000000,.0000000,.0000000,.0000000
33.98,.1888186,.1626229,.1389567,.1178897,.1000201,.0848562,.0719772,.0610649,.0518144,.0114412,.0105383,.0000000,.0000000,.0000000,.0000000
34.98,.1901401,.1623070,.1387407,.1177065,.0998656,.0847251,.0718652,.0609699,.0517344,.0114235,.0105220,.0000000,.0000000,.0000000,.0000000
35.98,.0000000,.0000000,.2142533,.1817707,.1542208,.1308397,.1109790,.0941537,.0798926,.0176412,.0162490,.0000000,.0000000,.0000000,.0000000
36.98,.0000000,.0000000,.2142529,.1817704,.1542217,.1308404,.1109782,.0941530,.0798930,.0176413,.0162490,.0000000,.0000000,.0000000,.0000000
37.98,.2287002,.0000000,.1652532,.1401995,.1189511,.1009171,.0855975,.0726202,.0616216,.0136067,.0125329,.0000000,.0000000,.0000000,.0000000
38.98,.1917170,.1620928,.1384487,.1174588,.0996562,.0845475,.0717128,.0608406,.0516260,.0113996,.0105000,.0000000,.0000000,.0000000,.0000000
39.98,.1917330,.1621356,.1384365,.1174484,.0996470,.0845397,.0717061,.0608349,.0516213,.0113985,.0104990,.0000000,.0000000,.0000000,.0000000
40.98,.0000000,.0000000,.2142552,.1817724,.1542206,.1308395,.1109773,.0941523,.0798926,.0176412,.0162490,.0000000,.0000000,.0000000,.0000000
41.98,.0000000,.0000000,.2142548,.1817721,.1542201,.1308390,.1109783,.0941531,.0798925,.0176411,.0162489,.0000000,.0000000,.0000000,.0000000
42.98,.0000000,.0000000,.2142548,.1817721,.1542201,.1308391,.1109783,.0941530,.0798925,.0176411,.0162489,.0000000,.0000000,.0000000,.0000000
43.98,.1918745,.1623034,.1383703,.1173922,.0995980,.0844982,.0716733,.0608070,.0515961,.0113930,.0104939,.0000000,.0000000,.0000000,.0000000
44.98,.0000000,.0000000,.2142545,.1817718,.1542185,.1308377,.1109807,.0941551,.0798920,.0176410,.0162488,.0000000,.0000000,.0000000,.0000000
45.98,.0000000,.0000000,.2142538,.1817712,.1542183,.1308375,.1109816,.0941559,.0798920,.0176410,.0162488,.0000000,.0000000,.0000000,.0000000
