 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),modess,runoff,ppt,trans,delw,disc,cwtr,check,diff,modwet,unint,canst,snow_watermm
001,.0527565,.0000000,2.7940000,.0577802,43.9500000,.0000000,362.9500000,71.0503816,-43.9500000,-.5251761,71.1609184,.1440877,.0771915
002,.0769987,.0000000,.2540000,.1060135,-.2000000,.0000000,362.7500000,7.9722562,.2000000,-.4141374,8.1552684,-7.4191921,.1358865
003,.0740715,.0000000,2.5400000,.0254676,8.3000000,.0000000,371.0500000,9.8570031,-8.3000000,-.4923649,9.9565422,-5.6300319,.5167859
004,.1190484,.0000000,.0410000,.0819346,-.5000000,.0000000,370.5500000,.3925719,.5000000,-.4772543,.5935549,.2800000,.0446131
005,.1546732,.0000000,.0000000,.1910557,-.9500000,.0000000,369.6000000,-.3138440,.9500000,.0000000,.0318849,.2800000,.0000000
006,.2639322,.0000000,.0000000,.2592856,-1.0000000,.0000000,368.6000000,-.5232177,1.0000000,.0000000,.0000000,.2800000,.0000000
007,.0477373,.0000000,1.5240000,.0522378,-.8500000,.0000000,367.7500000,105.2867582,.8500000,-.1114388,105.3867332,-78.7761154,.4862566
008,.0310493,.0000000,.0000000,.0284928,2.2000000,.0000000,369.9500000,.1024613,-2.2000000,-.5386787,.1620034,-78.5697326,1.6519754
009,.1058106,127966.1124178,5.5880000,.0937046,.6500000,.0000000,370.6000000,634.7428362,-.6500000,-.4849936,128601.0547692,-85871.9155616,.0129765
010,.0735206,600444.7164560,39.8780000,.0550137,.3000000,.0000000,370.9000000,2960.7633287,-.3000000,-.6122280,603405.6083191,-221.5069458,.0000000
011,.0160038,2666.8885640,.2540000,.0013341,-.2500000,.0000000,370.6500000,88.0011639,.2500000,-.5719417,2754.9070656,-2754.6398320,.7982787
012,.0242561,.0000000,4.8260000,.0207860,-.6500000,.0000000,370.0000000,6.1029319,.6500000,-.3475596,6.1479740,.6040118,.3235420
013,.0143448,.0000000,13.9700000,.0389515,-.6000000,.0000000,369.4000000,14.3270675,.6000000,.0000000,14.3803638,.4758372,.0000000
014,.0165755,.0000000,1.2700000,.0198460,-.3500000,.0000000,369.0500000,1.4306779,.3500000,-.0328154,1.4670994,.2787379,3.0795532
015,.0600239,.0000000,.0000000,.0360293,-.4000000,.0000000,368.6500000,-.0960531,.4000000,-.0136240,.0000000,.0844905,3.2766768
016,.0450919,119.7624765,2.2860000,.0493002,-.0500000,.0000000,368.6000000,182.6247038,.0500000,-.4773479,302.4815724,-144.1471084,.2800504
017,.0205960,267.6390142,14.7320000,.0346543,.3000000,.0000000,368.9000000,243.4318860,-.3000000,-.5695938,511.1261505,-5.4167362,.5005380
018,.0339283,.0000000,.0000000,.0478617,.2500000,.0000000,369.1500000,-.0817900,-.2500000,-.4407952,.0000000,-5.4167362,1.1961481
019,.0442021,.0000000,.0000000,.0522642,.1000000,.0000000,369.2500000,-.0964663,-.1000000,-.3946464,.0000000,-5.4167362,1.5907748
020,.0248516,.0000000,.2540000,.0220565,1.0500000,.0000000,370.3000000,2.1645874,-1.0500000,-.4608035,2.2114955,-1.9574955,2.3071074
021,.0384209,.0000000,.0000000,.0449832,.4500000,.0000000,370.7500000,-.0834041,-.4500000,-.4328166,.0000000,-1.9574955,2.7373570
022,.1135015,.0000000,.0000000,.1042855,-.3500000,.0000000,370.4000000,2.1883752,.3500000,-.3322365,2.4061623,-1.8152329,.2599951
023,.1847201,.0000000,.0000000,.2745890,-.0000000,.0000000,370.4000000,-.2342409,.0000000,-.4741745,.2250681,-1.3574200,.0000000
024,.0970039,.0000000,.0000000,.1479379,1.0500000,.0000000,371.4500000,-.1796911,-1.0500000,-.4709301,.0652506,-1.0858673,.1381475
025,.0842941,.0000000,.0200000,.1325179,.9000000,.0000000,372.3500000,.0551321,-.9000000,-.3851641,.2719441,.0004374,.2472745
026,.0540679,.0000000,.0000000,.0630464,.8500000,.0000000,373.2000000,-.1171143,-.8500000,-.3616196,.0000000,.0001490,.6060691
027,.0427278,.0000000,.0000000,.0462026,-.2000000,.0000000,373.0000000,-.0889305,.2000000,-.3757951,.0000000,.0000727,.9804903
028,.0104412,646.4127476,3.0480000,.0080912,-.6000000,.0000000,372.4000000,256.9429380,.6000000,-.4822035,903.3742179,-43.7610669,1.9984335
029,.0379872,298357.1014806,7.8740000,.0218488,-.7500000,.0000000,371.6500000,330.3484697,.7500000,-.4980147,298687.5097863,-2651.6836719,.2782197
030,.0390761,474218.7081288,17.7800000,.0469660,-.6500000,.0000000,371.0000000,835.0986287,.6500000,-.4449394,475053.8927995,-40.5069309,1.2448207
031,.0522386,272161.2561160,28.4480000,.0564427,-.9500000,.0000000,370.0500000,1089.6236770,.9500000,-.4690396,273250.9884744,-20.2534654,.2661983
032,.0585183,.0000000,1.7780000,.1467002,-1.6500000,.0000000,368.4000000,9.2608424,1.6500000,-.4518714,9.4660608,-1.1713095,.0673282
033,.0101954,.0000000,10.1600000,.0384895,-2.1500000,.0000000,366.2500000,149.6326365,2.1500000,-.6215610,149.6813214,-3.9839084,.0000000
034,.0472535,.0000000,1.0160000,.1086071,-.2500000,.0000000,366.0000000,10.4846793,.2500000,-.3933415,10.6405400,.2800000,.0000000
035,.0280513,291649.5521988,9.9060000,.0277902,.0500000,.0000000,366.0500000,426.0109789,-.0500000,-.3958563,292075.6190193,-244707.2542866,.3043927
036,.0730467,.0000000,.0000000,.0962316,.3500000,.0000000,366.4000000,.1342776,-.3500000,-.3344732,.3035560,-244707.2162728,.5130459
037,.1035993,.0000000,.0000000,.1414838,.9500000,.0000000,367.3500000,.3312230,-.9500000,-.3196685,.5763062,-244707.0671968,.0442307
038,.1923469,.0000000,.0000000,.2918871,.8000000,.0000000,368.1500000,-.4526224,-.8000000,-.4336063,.0316116,-244706.6266247,.0000000
039,.2111292,.0000000,.0000000,.3428369,1.2500000,.0000000,369.4000000,-.5539661,-1.2500000,-.3935331,.0000000,-244706.2483890,.0000000
040,.0749368,.0000000,.0000000,.0885346,1.0000000,.0000000,370.4000000,-.1404600,-1.0000000,-.3604664,.0230114,-244706.0334936,.1346583
041,.0864610,.0000000,.0000000,.0732737,1.1500000,.0000000,371.5500000,-.1597347,-1.1500000,-.2495021,.0000000,-244706.0334936,.3792457
042,.0939345,.0000000,.0000000,.0834467,.9000000,.0000000,372.4500000,-.1773812,-.9000000,-.3296846,.0000000,-244706.0334936,.7074474
043,.1123434,.0000000,.0000000,.1872858,2.6000000,.0000000,375.0500000,.4545901,-2.6000000,-.4646969,.7542192,-244705.7386614,.0267233
044,.1250934,.0000000,.0000000,.1628544,1.0000000,.0000000,376.0500000,-.2722829,-1.0000000,-.3903507,.0156649,-244705.3937285,.0634784
045,.0702025,.0000000,.0000000,.0463016,.1000000,.0000000,376.1500000,-.1165041,-.1000000,-.2975409,.0000000,-244705.3937285,.3573795
046,.0912760,.0000000,.0000000,.0379156,1.5500000,.0000000,377.7000000,-.1291916,-1.5500000,-.2391089,.0000000,-244705.3937285,1.1077101
047,.1255362,.0000000,.0000000,.0540335,2.1000000,.0000000,379.8000000,-.1795697,-2.1000000,-.1781780,.0000000,-244705.3937285,1.2845689
048,.0493238,.0000000,.0000000,.0082994,1.3500000,.0000000,381.1500000,-.0576232,-1.3500000,-.1175215,.0000000,-244705.3937285,1.4070626
049,.0869967,.0000000,.0000000,.0239003,1.3500000,.0000000,382.5000000,-.1108971,-1.3500000,-.0724705,.0000000,-244705.3937285,1.4814453
050,.1628188,.0000000,.0000000,.0680472,.1000000,.0000000,382.6000000,-.2308660,-.1000000,-.1180806,.0000000,-244705.3937285,1.5962706
051,.1925327,.0000000,.0000000,.1518068,.5500000,.0000000,383.1500000,-.0622074,-.5500000,-.1541319,.2821321,-244705.3937285,1.4347016
052,.0911198,.0000000,.0000000,.1116740,.2500000,.0000000,383.4000000,.7874590,-.2500000,-.3381535,.9902528,-244705.3865232,.6563509
053,.0990764,.0000000,.0000000,.1195727,.7000000,.0000000,384.1000000,.4368058,-.7000000,-.3315700,.6554549,-244705.2153083,.0894787
054,.1065053,.0000000,.0000000,.1492986,.4000000,.0000000,384.5000000,-.1840847,-.4000000,-.3939938,.0717192,-244704.8196863,.0000000
055,.1077379,.0000000,.0000000,.0950397,.5000000,.0000000,385.0000000,-.1675440,-.5000000,-.3339656,.0352337,-244704.8064167,.2837506
056,.1324730,.0000000,.0000000,.1322619,.7500000,.0000000,385.7500000,.0070476,-.7500000,-.3380912,.2717825,-244704.7443664,.2530370
057,.1822533,.0000000,.0000000,.1971323,.5000000,.0000000,386.2500000,-.0951042,-.5000000,-.4557229,.2842814,-244704.3659349,.0118545
058,-.0071126,.0000000,8.8900000,.0377689,.6500000,.0000000,386.9000000,9.3241856,-.6500000,-.1963629,9.3548418,1.3940738,.0000000
059,.0385339,.0000000,4.0640000,.0408824,-.0000000,.0000000,386.9000000,12.6586598,.0000000,-.4061573,12.7380761,-.7262955,.0771413
