 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
001,-.4405765,-1.1550468,.0784726,.0527565,-.5252227,-.0427471,.2613188,2.1842729,.8761946,.0643484,2.8000560
002,-.2699968,-.7283929,.1674103,.0769987,-.4141637,-.0418423,.2613240,2.1842729,.8762103,.1322066,2.8000000
003,-.4043536,-1.1178199,.0335487,.0740715,-.4924266,-.0411470,.2613240,2.1842721,.8762105,.0199007,2.8000000
004,-.3072830,-.8054272,.1273657,.1190484,-.4772807,-.0416451,.2613240,2.1842722,.8762105,.1011517,2.8000000
005,.3097291,.7682089,.3838769,.1546732,.0000000,-.0418508,.2613240,2.1842722,.8762105,.2736150,2.8000000
006,.4988112,1.2350984,.5818180,.2639322,.0000000,-.0419963,.2613240,2.1842723,.8762105,.5137758,2.8000000
007,-.0367651,-.1727896,.0675435,.0477373,-.1114910,-.0401028,.2613240,2.1842724,.8762105,.0624901,2.8000000
008,-.4991849,-1.3462610,.0226388,.0310493,-.5387213,-.0400984,.2613240,2.1842722,.8762105,.0121985,2.8000000
009,-.3268779,-.8151156,.1299862,.1058106,-.4850104,-.0416653,.2613240,2.1842721,.8762105,.1015840,2.8000000
010,-.5120194,-1.2742084,.0665025,.0735206,-.6122741,-.0417140,.2613240,2.1842721,.8762105,.0560794,2.8000000
011,-.5554695,-1.5667691,.0012206,.0160038,-.5719416,-.0400886,.2613240,2.1842722,.8762105,.0093407,2.8000000
012,-.3162963,-.8772329,.0201189,.0242561,-.3476495,-.0419843,.2613240,2.1842722,.8762105,.0104034,2.8000000
013,.0288821,.0719639,.0361958,.0143448,.0000000,-.0422025,.2613240,2.1842723,.8762105,.0311128,2.8000000
014,-.0144030,-.0411629,.0053408,.0165755,-.0328154,-.0400927,.2613240,2.1842724,.8762105,.0046286,2.8000000
015,.0597809,.1694788,.0450546,.0600239,-.0137274,-.0400940,.2613240,2.1842725,.8762104,.0193885,2.8000000
016,-.4104861,-1.0905692,.0552363,.0450919,-.4773452,-.0429461,.2613240,2.1842725,.8762104,.0461868,2.8000000
017,-.5373218,-1.4174785,.0296586,.0205960,-.5696486,-.0400958,.2613240,2.1842725,.8762104,.0344603,2.8000000
018,-.3877434,-1.1035913,.0550392,.0339283,-.4408157,-.0401010,.2613240,2.1842726,.8762104,.0431969,2.8000000
019,-.3257739,-.9316107,.0672623,.0442021,-.3946621,-.0401046,.2613240,2.1842726,.8762104,.0512374,2.8000000
020,-.4269408,-1.2138415,.0242785,.0248516,-.4608060,-.0400998,.2613240,2.1842726,.8762104,.0197205,2.8000000
021,-.3769948,-1.0687804,.0527176,.0384209,-.4328846,-.0401017,.2613240,2.1842726,.8762104,.0478084,2.8000000
022,-.1476135,-.4198532,.1829718,.1135015,-.3322784,-.0419493,.2613240,2.1842727,.8762104,.0987884,2.8000000
023,-.0481434,-.1217530,.5982657,.1847201,-.4742155,-.0431225,.2613240,2.1842726,.8762104,.5013505,2.8000000
024,-.2656500,-.7222075,.2707546,.0970039,-.4709660,-.0420153,.2613240,2.1842726,.8762104,.2365045,2.8000000
025,-.2093769,-.6306848,.2334402,.0842941,-.3851743,-.0401034,.2613240,2.1842725,.8762104,.1855890,2.8000000
026,-.2776907,-.7872531,.0879615,.0540679,-.3616293,-.0401004,.2613240,2.1842725,.8762104,.0757643,2.8000000
027,-.3144779,-.8915450,.0544122,.0427278,-.3758098,-.0400997,.2613240,2.1842726,.8762104,.0413420,2.8000000
028,-.4699841,-1.2882531,.0047608,.0104412,-.4822125,-.0401041,.2613240,2.1842728,.8762103,.0064742,2.8000000
029,-.4479923,-1.2082272,.0307601,.0379872,-.4980458,-.0428049,.2613240,2.1842729,.8762103,.0006883,2.8000000
030,-.3849440,-1.0297578,.0528384,.0390761,-.4449561,-.0401102,.2613240,2.1842731,.8762102,.0650512,2.8000000
031,-.3769471,-.9895155,.1036522,.0522386,-.4690538,-.0438453,.2613240,2.1842734,.8762101,.0841336,2.8000000
032,-.2841993,-.7530861,.2722876,.0585183,-.4518739,-.0472008,.2613240,2.1842742,.8762098,.2194469,2.8000000
033,-.5983949,-1.4951362,.0324941,.0101954,-.6216222,-.0505025,.2613240,2.1842759,.8762092,.0251481,2.8000000
034,-.2859392,-.7129019,.1497457,.0472535,-.3933415,-.0475717,.2613240,2.1842745,.8762097,.0973987,2.8000000
035,-.3568953,-.9810513,.0306365,.0280513,-.3958842,-.0401543,.2613240,2.1842738,.8762099,.0441174,2.8000000
036,-.2001974,-.5729092,.1642617,.0730467,-.3344882,-.0401647,.2613240,2.1842736,.8762100,.1213663,2.8000000
037,-.1117582,-.3191424,.2647247,.1035993,-.3196884,-.0418979,.2613240,2.1842733,.8762101,.2050436,2.8000000
038,.0288855,.0685167,.6687745,.1923469,-.4336152,-.0435186,.2613240,2.1842732,.8762101,.5084971,2.8000000
039,.1384009,.3396246,.7945396,.2111292,-.3935519,-.0433360,.2613240,2.1842732,.8762102,.6909936,2.8000000
040,-.2396523,-.6288972,.1230805,.0749368,-.3604806,-.0401488,.2613240,2.1842731,.8762102,.0881252,2.8000000
041,-.1248796,-.3540338,.1146071,.0864610,-.2495156,-.0401407,.2613240,2.1842730,.8762102,.0976314,2.8000000
042,-.1913529,-.5503821,.1344976,.0939345,-.3296998,-.0401405,.2613240,2.1842728,.8762103,.1020449,2.8000000
043,-.2184945,-.5901095,.3340828,.1123434,-.4647434,-.0423752,.2613240,2.1842726,.8762104,.2569154,2.8000000
044,-.1588169,-.4057621,.2660380,.1250934,-.3903898,-.0401164,.2613240,2.1842725,.8762104,.2121792,2.8000000
045,-.2059629,-.5839049,.0618151,.0702025,-.2975533,-.0401134,.2613240,2.1842725,.8762104,.0688783,2.8000000
046,-.1282368,-.3635513,.0568416,.0912760,-.2391202,-.0401180,.2613240,2.1842724,.8762105,.0339960,2.8000000
047,-.0203859,-.0577940,.0914483,.1255362,-.1781790,-.0401110,.2613240,2.1842722,.8762105,.0807485,2.8000000
048,-.0634444,-.1798649,.0134757,.0493238,-.1175215,-.0400999,.2613240,2.1842721,.8762106,.0089470,2.8000000
049,.0301296,.0854173,.0442358,.0869967,-.0724706,-.0401021,.2613240,2.1842720,.8762106,.0269539,2.8000000
050,.0875092,.2480887,.1315619,.1628188,-.1180867,-.0400972,.2613240,2.1842720,.8762106,.0961158,2.8000000
051,.1536829,.3915655,.3108594,.1925327,-.1541319,-.0400965,.2613240,2.1842720,.8762106,.2587195,2.8000000
052,-.1788560,-.5393473,.1736551,.0911198,-.3381807,-.0400962,.2613240,2.1842720,.8762106,.1411639,2.8000000
053,-.1597112,-.4365099,.1853409,.0990764,-.3315851,-.0400955,.2613240,2.1842719,.8762106,.1477576,2.8000000
054,-.1904085,-.4767282,.2411329,.1065053,-.3940002,-.0400949,.2613240,2.1842720,.8762106,.1907873,2.8000000
055,-.1702108,-.5092486,.1502903,.1077379,-.3339857,-.0400944,.2613240,2.1842719,.8762106,.1182898,2.8000000
056,-.1157379,-.3481445,.2351436,.1324730,-.3381241,-.0400936,.2613240,2.1842719,.8762106,.1841854,2.8000000
057,-.1093871,-.2956515,.4027145,.1822533,-.4557676,-.0414694,.2613240,2.1842719,.8762106,.3244661,2.8000000
058,-.1865777,-.4651739,.0421068,-.0071126,-.1963629,-.0415472,.2613240,2.1842719,.8762106,.0479841,2.8000000
059,-.3509834,-.9011401,.0437329,.0385339,-.4061669,-.0400968,.2613240,2.1842720,.8762106,.0227611,2.8000000
060,.0785039,.1736294,.3769310,.1799508,-.2523879,-.0416324,.2613240,2.1842720,.8762106,.2849620,2.8000000
061,.1041451,.2382640,.3570269,.1787467,-.2152533,-.0400958,.2608582,2.1842720,.8748153,.2954489,2.8050001
062,-.1227083,-.3817052,.1933971,.1380822,-.3343305,-.0400950,.2603941,2.1842718,.8734246,.1691390,2.8100001
063,.1914633,.4483025,.3343419,.2772544,-.2194567,-.0400723,.2599315,2.1842716,.8720383,.2511807,2.8150001
064,.3746825,.9341914,.3648657,.4107567,-.1873101,-.0410043,.2594707,2.1842713,.8706564,.2941186,2.8200001
065,-.1006412,-.2982957,.2033405,.2274247,-.4097668,-.0400496,.2590114,2.1842713,.8692788,.1753902,2.8250001
066,-.1039390,-.3449850,.1528642,.1717229,-.3349718,-.0400507,.2585538,2.1842713,.8679055,.1245166,2.8300001
067,-.3395993,-.9599547,.0548432,.0734280,-.4337353,-.0400536,.2580978,2.1842714,.8665365,.0496817,2.8350001
068,-.2307118,-.6540679,.0250347,.0639316,-.3034740,-.0400565,.2576434,2.1842714,.8651718,.0168966,2.8400001
069,-.0760924,-.2157220,.0851319,.1441427,-.2430684,-.0400587,.2571906,2.1842715,.8638115,.0701674,2.8450001
070,-.2034802,-.5768664,.0176030,.0871994,-.2929001,-.0400619,.2567394,2.1842716,.8624554,.0162025,2.8500001
071,-.1398050,-.3963472,.0857602,.1188516,-.2822215,-.0400649,.2562898,2.1842716,.8611036,.0619183,2.8550001
072,-.0727988,-.2360217,.2056388,.1407244,-.2865773,-.0400685,.2558417,2.1842717,.8597560,.1607879,2.8600001
073,-.1329258,-.3947459,.1690406,.1172678,-.3087565,-.0400719,.2553952,2.1842717,.8584126,.1397519,2.8650001
074,-.1294205,-.3787655,.2160394,.1209179,-.3365338,-.0400753,.2549503,2.1842718,.8570734,.1672108,2.8700001
075,.0019657,-.0403765,.1679045,.0921765,-.1588288,-.0400795,.2545069,2.1842719,.8557383,.1268172,2.8750001
076,.2201346,.5258137,.1683223,.0963592,.0567339,-.0400841,.2540650,2.1842720,.8544074,.1533164,2.8800001
077,-.0155493,-.0875461,.2218874,.1237596,-.2213325,-.0400881,.2536247,2.1842720,.8530807,.1661728,2.8850001
078,-.1092942,-.3098489,.1620526,.1240993,-.2824492,-.0400930,.2531859,2.1842721,.8517581,.1373363,2.8900001
079,-.0726894,-.2404880,.3292738,.1464087,-.3477512,-.0400936,.2527486,2.1842721,.8504395,.2701205,2.8950001
080,-.1398658,-.4199912,.1521970,.0714781,-.2714308,-.0415249,.2523129,2.1842722,.8491251,.1022571,2.9000001
081,.3381473,.8402369,.6014006,.1843906,-.0885755,-.0416059,.2518786,2.1842722,.8478147,.4661277,2.9050001
082,.8235619,2.0461687,.8022582,.2742245,.2257514,-.0429164,.2514458,2.1842723,.8465083,.6223759,2.9100001
083,-.0639678,-.1726797,.5017893,.1438045,-.4093701,-.0417205,.2510145,2.1842724,.8452059,.4517712,2.9150001
084,-.3854500,-1.0927507,.0046634,.0418347,-.4255894,-.0400976,.2505847,2.1842723,.8439076,.0023342,2.9200001
085,-.0849310,-.2596079,.2608447,.1221406,-.3094895,-.0401029,.2501563,2.1842723,.8426133,.1951726,2.9250001
086,-.0807430,-.2488959,.3905595,.1484501,-.3833773,-.0424662,.2497295,2.1842724,.8413229,.3139481,2.9300001
087,-.2725542,-.6813958,.3011178,.1001072,-.4934312,-.0425259,.2493040,2.1842724,.8400365,.2577870,2.9350001
088,.2719346,.7001445,.2116309,.0779197,.1105945,-.0426632,.2488800,2.1842725,.8387540,.1625634,2.9400001
089,.3066960,.7621399,.4572796,.1537379,-.0307525,-.0428800,.2484575,2.1842726,.8374753,.3593626,2.9450001
090,.3491778,.8630783,.5311563,.1538270,-.0176853,-.0428839,.2480364,2.1842727,.8362006,.4362111,2.9500001
091,.0179533,.0016968,.1730775,.0802182,-.1280959,-.0420216,.2476167,2.1842727,.8349297,.1374254,2.9550001
092,-.1613365,-.4705347,.2193847,.0872565,-.3362411,-.0430399,.2471984,2.1842727,.8336628,.1730221,2.9600001
093,-.0621081,-.1567629,.3717466,.1103391,-.3218504,-.0430440,.2467815,2.1842728,.8323996,.2979820,2.9650001
094,-.1671742,-.4517872,.2268911,.0998130,-.3572857,-.0430573,.2463661,2.1842728,.8311403,.1960740,2.9700001
095,.1406678,.3496028,.0704424,.0403108,.0721590,-.0432128,.2459520,2.1842729,.8298848,.0454078,2.9750001
096,.1949746,.4603264,.4090652,.1268489,-.0952697,-.0434774,.2455394,2.1842731,.8286330,.3200666,2.9800001
097,.4503426,1.1199480,.3921097,.1123953,.1803734,-.0428681,.2451281,2.1842729,.8273851,.3356135,2.9850001
098,-.1051168,-.2632757,.2190285,.0680656,-.2609560,-.0433105,.2447182,2.1842730,.8261409,.1688957,2.9900001
099,-.1936875,-.4951188,.1531482,.0693213,-.3239962,-.0429604,.2443096,2.1842729,.8249004,.1333768,2.9950001
100,.0598059,.1497714,.3957038,.1180162,-.2165482,-.0429966,.2439024,2.1842729,.8236637,.3088905,3.0000001
101,-.0796249,-.2008611,.4017656,.1079990,-.3490260,-.0431587,.2434966,2.1842730,.8224307,.3207372,3.0050001
102,.5762563,1.4286573,.7699464,.1797970,.0863029,-.0432326,.2430921,2.1842730,.8212013,.6213917,3.0100001
103,-.1521873,-.3805655,.4731676,.1118242,-.4544821,-.0434104,.2426890,2.1842731,.8199756,.3787525,3.0150001
104,.1261437,.2646543,.3150522,.0976917,-.0979645,-.0423838,.2422872,2.1842732,.8187535,.2676177,3.0200001
105,-.2415798,-.6959961,.0368350,.0392331,-.2943980,-.0401525,.2418867,2.1842734,.8175351,.0262762,3.0250001
106,.2181013,.5120343,.2486116,.1197129,.0066671,-.0426494,.2414876,2.1842734,.8163203,.2027824,3.0300001
107,.2120013,.5432433,.1941972,.0753976,.0625207,-.0426497,.2410897,2.1842735,.8151091,.1557474,3.0350001
108,.3723161,.8825702,.9930763,.2288968,-.2541493,-.0440899,.2406932,2.1842736,.8139015,.7703576,3.0400001
109,.9604382,2.3735634,1.7947232,.2904428,-.0555611,-.0442028,.2402980,2.1842736,.8126975,1.4513391,3.0450001
110,1.0243775,2.5288551,1.8075879,.2839126,.0090157,-.0439854,.2399040,2.1842735,.8114971,1.4979594,3.0500001
111,-.1222030,-.3243306,.3500112,.1181478,-.3789221,-.0432762,.2395114,2.1842734,.8103002,.2730901,3.0550001
112,.2510987,.5998420,.5614354,.1892837,-.1599461,-.0435950,.2391200,2.1842735,.8091068,.4230483,3.0600001
113,.4697406,1.1665480,.9177867,.2346287,-.1341230,-.0439876,.2387299,2.1842736,.8079169,.7295809,3.0650001
114,.4443926,1.1046076,.9984721,.2605265,-.2171622,-.0445535,.2383411,2.1842739,.8067304,.8055572,3.0700001
115,.6692940,1.6557504,1.6824497,.3051708,-.3144452,-.0449327,.2379536,2.1842741,.8055475,1.3841097,3.0750001
116,.7429151,1.8355262,1.8379315,.2556833,-.2553536,-.0453525,.2375673,2.1842743,.8043680,1.4810332,3.0800001
117,.6378848,1.5699870,1.9181071,.2801408,-.4189584,-.0459523,.2371823,2.1842747,.8031919,1.5272783,3.0850001
118,.9168111,2.2482205,2.8776017,.3393655,-.5920585,-.0471721,.2367985,2.1842751,.8020192,2.3612455,3.0900001
119,.3496569,.8590490,1.5031434,.1774996,-.4366960,-.0477919,.2364159,2.1842755,.8008499,1.2622817,3.0950001
120,.5628969,1.3733934,1.4695761,.2407864,-.2682238,-.0489226,.2360346,2.1842761,.7996840,1.1833708,3.1000001
121,.5238380,1.2976195,1.2288354,.3396981,-.3097344,-.0424616,.2352756,2.1842723,.7973639,.9861089,3.1100002
122,.6052469,1.4802123,1.0225909,.3447391,-.1443931,-.0425982,.2345216,2.1842724,.7950561,.8027075,3.1200002
123,.7851027,1.9477390,1.4127787,.3555440,-.1392268,-.0427431,.2337723,2.1842725,.7927615,1.1309305,3.1300002
124,.9004400,2.2293247,1.7866194,.3972800,-.2176515,-.0430517,.2330278,2.1842727,.7904801,1.4169857,3.1400002
125,1.3911349,3.4280066,3.0234540,.4313788,-.2657038,-.0434975,.2322880,2.1842729,.7882118,2.5074397,3.1500002
126,.4223399,1.0444644,1.2117936,.2143000,-.2804976,-.0440109,.2315529,2.1842732,.7859564,.9913254,3.1600002
