 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),modess,runoff,ppt,trans,delw,disc,cwtr,check,diff,modwet,unint,canst,snow_watermm
001,.0527565,.0000000,2.7940000,.0314294,43.9500000,.0000000,362.9500000,71.0767325,-43.9500000,-.5252227,71.1609184,.1441150,.0771915
002,.0769987,.0000000,.2540000,.0671257,-.2000000,.0000000,362.7500000,8.0111441,.2000000,-.4141637,8.1552684,-7.4191385,.1358865
003,.0740715,.0000000,2.5400000,.0134066,8.3000000,.0000000,371.0500000,9.8690641,-8.3000000,-.4924266,9.9565422,-5.6300304,.5168267
004,.1190484,.0000000,.0410000,.0510234,-.5000000,.0000000,370.5500000,.4235397,.5000000,-.4772807,.5936115,.2800000,.0446175
005,.1546732,.0000000,.0000000,.1548200,-.9500000,.0000000,369.6000000,-.2776053,.9500000,.0000000,.0318880,.2800000,.0000000
006,.2639322,.0000000,.0000000,.2346382,-1.0000000,.0000000,368.6000000,-.4985703,1.0000000,.0000000,.0000000,.2800000,.0000000
007,.0477373,.0000000,1.5240000,.0270946,-.8500000,.0000000,367.7500000,105.3119014,.8500000,-.1114910,105.3867332,-78.7761154,.4862643
008,.0310493,.0000000,.0000000,.0090510,2.2000000,.0000000,369.9500000,.1219064,-2.2000000,-.5387213,.1620067,-78.5697187,1.6520083
009,.1058106,127966.1140507,5.5880000,.0521922,.6500000,.0000000,370.6000000,634.7827452,-.6500000,-.4850104,128601.0547986,-85871.9155616,.0129768
010,.0735206,600444.7210300,39.8780000,.0267159,.3000000,.0000000,370.9000000,2960.7870526,-.3000000,-.6122741,603405.6083191,-221.5069458,.0000000
011,.0160038,2666.8885640,.2540000,.0004882,-.2500000,.0000000,370.6500000,88.0020097,.2500000,-.5719416,2754.9070656,-2754.6398320,.7982786
012,.0242561,.0000000,4.8260000,.0080461,-.6500000,.0000000,370.0000000,6.1157408,.6500000,-.3476495,6.1480429,.6040125,.3235494
013,.0143448,.0000000,13.9700000,.0145285,-.6000000,.0000000,369.4000000,14.3514975,.6000000,.0000000,14.3803708,.4758372,.0000000
014,.0165755,.0000000,1.2700000,.0021306,-.3500000,.0000000,369.0500000,1.4483933,.3500000,-.0328154,1.4670994,.2787379,3.0795532
015,.0600239,.0000000,.0000000,.0179672,-.4000000,.0000000,368.6500000,-.0779910,.4000000,-.0137274,.0000000,.0845720,3.2766988
016,.0450919,119.7639344,2.2860000,.0221575,-.0500000,.0000000,368.6000000,182.6503967,.0500000,-.4773452,302.4815804,-144.1471084,.2800511
017,.0205960,267.6390143,14.7320000,.0118869,.3000000,.0000000,368.9000000,243.4546539,-.3000000,-.5696486,511.1261512,-5.4167362,.5005438
018,.0339283,.0000000,.0000000,.0219997,.2500000,.0000000,369.1500000,-.0559280,-.2500000,-.4408157,.0000000,-5.4167362,1.1961744
019,.0442021,.0000000,.0000000,.0268931,.1000000,.0000000,369.2500000,-.0710952,-.1000000,-.3946621,.0000000,-5.4167362,1.5908169
