TIMESTAMP,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,RNET.y,SkyT,Tcan_Avg_corr,Tair,RH
2.02E+11,0,0,0,204.07,261.13,-57.103,-28.0660274,NA,-7.63,28.98
2.02E+11,0,0,0,207.83,260.3,-52.487,-26.94550987,NA,-6.64,35.27
2.02E+11,0,0,0,206.57,263,-56.41,-27.31929614,NA,-7.37,19.13
2.02E+11,0,0,0,207.07,261.97,-54.93,-27.17076416,NA,-7.79,21.39
2.02E+11,0,0,0,206.6,261.43,-54.88,-27.31037663,NA,-7.94,28.7
2.02E+11,0,0,0,206.57,258.43,-51.847,-27.31929614,NA,-6.96,17.72
2.02E+11,0,0,0,207.9,259.6,-51.683,-26.92479385,NA,-6.73,13.75
2.02E+11,0,0,0,207.63,259.8,-52.143,-27.00472734,NA,-6.75,12.9
2.02E+11,0,0,0,208.43,262.53,-54.11,-26.76811352,NA,-6.88,12.92
2.02E+11,0,0,0,208.03,261.8,-53.813,-26.88633512,NA,-7.21,15.33
2.02E+11,0,0,0,209.53,262.1,-52.59,-26.44387915,NA,-7.4,16.73
2.02E+11,0,0,0,209,262.77,-53.777,-26.59994139,NA,-7.73,18.46
2.02E+11,0,0,0,209.7,261.4,-51.68,-26.39388417,NA,-7.61,16.23
2.02E+11,0,0,0,209.43,260.6,-51.167,-26.47330218,NA,-7.4,23.34
2.02E+11,0,0,0,212.1,261.93,-49.847,-25.69129553,NA,-6.14,29.32
2.02E+11,16.718,0,0,212.37,264.7,-51.55,-25.61262804,NA,-6.71,46.4
2.02E+11,88.022,59.327,16.068,212.23,266.47,-10.997,-25.65340922,NA,-6.42,45.98
2.02E+11,224.75,134.3,27.31,210.67,270.53,47.053,-26.10919877,NA,-6.91,45.97
2.02E+11,379.02,204.63,34.887,211.17,275.9,105.03,-25.96283754,NA,-7.06,48.24
2.02E+11,511.08,267.13,39.01,211.6,281.6,158.13,-25.83717461,NA,-5.77,44.64
2.02E+11,626.2,321.7,43.57,211.67,285.53,204.27,-25.81673599,NA,-5.51,51.25
2.02E+11,726.49,366.43,47.27,213.4,290.87,241.73,-25.31321326,NA,-4.43,48.93
2.02E+11,766.04,381.8,47.557,215.4,295.13,254.47,-24.73490723,NA,-3.58,46.4
2.02E+11,806.14,398.27,48.623,215.53,298.2,267,-24.69745695,NA,-3.21,47.04
2.02E+11,835.22,412.5,53.08,212.47,294.2,277.73,-25.58351096,NA,-4.75,50.11
2.02E+11,788.36,383,48.48,211.63,292.33,253.8,-25.82841458,NA,-5.28,54.42
2.02E+11,757.7,361.33,44.44,213.9,296.87,233.97,-25.16825692,NA,-3.83,51.62
2.02E+11,689.1,325.4,42.587,214.67,298.97,198.53,-24.94552039,NA,-3.25,47.37
2.02E+11,589.36,272.87,39.067,214.03,298.3,149.5,-25.13060991,NA,-3.24,47.74
2.02E+11,468.39,209.23,32.97,215.13,298.57,92.847,-24.81274278,NA,-3,45.81
2.02E+11,334.99,145.47,28.62,213.9,295.03,35.713,-25.16825692,NA,-3.85,49.08
2.02E+11,180.29,78.73,20.263,214.23,292.17,-19.422,-25.0727249,NA,-4.15,41.72
2.02E+11,60.342,22.658,8.7137,215.03,289.47,-60.487,-24.84158935,NA,-4.12,53.92
2.02E+11,8.3056,0,0,214.93,285.8,-70.893,-24.87044599,NA,-4.69,61.78
2.02E+11,0,0,0,215.3,282.23,-66.953,-24.76372667,NA,-5.38,62.6
2.02E+11,0,0,0,215.9,280.97,-65.07,-24.59096034,NA,-6.05,63.5
2.02E+11,0,0,0,216.87,279.57,-62.733,-24.31241488,NA,-6.25,64.34
2.02E+11,0,0,0,217.33,277.27,-59.95,-24.18064768,NA,-5.63,61.61
2.02E+11,0,0,0,213.73,274.9,-61.167,-25.21751354,NA,-6.36,59.96
2.02E+11,0,0,0,215.1,274.83,-59.77,-24.82139569,NA,-6.59,57.36
2.02E+11,0,0,0,214.03,273,-58.98,-25.13060991,NA,-6.66,56.56
2.02E+11,0,0,0,215.5,273.13,-57.61,-24.70609782,NA,-6.36,55.04
2.02E+11,0,0,0,217.87,273.4,-55.497,-24.02623108,NA,-6.4,53.62
2.02E+11,0,0,0,216.23,272.97,-56.717,-24.4960923,NA,-6.63,52.69
2.02E+11,0,0,0,214.57,269.63,-55.047,-24.97441333,NA,-6.34,45.99
2.02E+11,0,0,0,213.87,269.63,-55.78,-25.17694713,NA,-7.06,50.79
2.02E+11,0,0,0,213.57,270.2,-56.673,-25.26389955,NA,-7.7,54.58
2.02E+11,0,0,0,216.6,272.93,-56.353,-24.38985415,NA,-6.96,47.4
2.02E+11,0,0,0,217.17,274.67,-57.52,-24.226456,NA,-6.01,56.11
2.02E+11,0,0,0,214.8,274.7,-59.883,-24.90797467,NA,-6.58,57.37
2.02E+11,0,0,0,216.97,275.27,-58.333,-24.28375202,NA,-7.07,53.16
2.02E+11,0,0,0,217.1,274.97,-57.83,-24.2465051,NA,-7.41,55.25
2.02E+11,0,0,0,218.37,274.9,-56.523,-23.88350848,NA,-7.24,61.21
2.02E+11,0,0,0,218.5,274.7,-56.18,-23.84644075,NA,-7.14,65.48
2.02E+11,0,0,0,221.2,276.13,-54.957,-23.08028558,NA,-6.03,62.89
2.02E+11,0,0,0,226,281.17,-55.157,-21.73537758,NA,-4.57,65.56
2.02E+11,0,0,0,225.5,281.83,-56.337,-21.87446682,NA,-4.21,71.29
2.02E+11,0,0,0,229.6,283.9,-54.297,-20.74068842,NA,-4.04,74.07
2.02E+11,0,0,0,229.47,285.2,-55.723,-20.77640344,NA,-3.72,75.78
2.02E+11,0,0,0,230.37,285.33,-54.98,-20.52945598,NA,-2.92,75.81
2.02E+11,0,0,0,234.7,288.2,-53.53,-19.35137776,NA,0.5,68.54
2.02E+11,0,0,0,242.03,292.67,-50.59,-17.39371078,NA,2.88,58.75
2.02E+11,0,0,0,251.7,297.73,-46.017,-14.87798949,NA,2.22,62.16
2.02E+11,19.798,7.6503,1.632,257.6,303.2,-39.547,-13.378473,NA,2,63.45
2.02E+11,78.581,46.8,9.0557,293.43,312.67,18.57,-4.786666589,NA,3.11,58.47
2.02E+11,237.06,137.2,26.507,283.9,312.5,82.09,-6.991457634,NA,2.47,61.57
2.02E+11,341.9,180.53,31.083,264.37,322.6,91.233,-11.68924903,NA,4.4,55.83
2.02E+11,320.87,161.03,25.16,267.3,325.23,77.933,-10.96821522,NA,4.56,56.76
2.02E+11,520.29,264.53,38.857,251.1,327.4,149.37,-15.03195437,NA,4.96,55.49
2.02E+11,810.36,412.93,56.66,258.63,333.07,281.83,-13.11934049,NA,5.88,52.11
2.02E+11,652.21,324.1,42.27,256.5,333.43,204.93,-13.656076,NA,5.75,54.64
2.02E+11,767.81,379.33,49.423,256.4,334.33,251.93,-13.68135689,NA,6.11,54.13
2.02E+11,754.57,374.8,48.64,263.43,334.47,255.13,-11.92184001,NA,5.97,55.69
2.02E+11,372.18,179,25.793,263.7,332.2,84.71,-11.85496833,NA,5.59,59.39
2.02E+11,709.17,349.1,49.19,267.6,336.07,231.43,-10.89472432,NA,6.18,57.5
2.02E+11,422.03,205.2,30.33,275.53,335.67,114.79,-8.974144606,NA,6.01,57.95
2.02E+11,303.49,144.97,22.423,264.1,332.7,53.967,-11.7559935,NA,5.48,59.32
2.02E+11,436.5,210.07,35.477,251.4,331.83,94.18,-14.95493748,NA,5.38,60.98
2.02E+11,332.11,156.67,31.45,241.17,330.77,35.607,-17.62107405,NA,5.11,65.52
2.02E+11,194.41,95.877,23.743,244.07,329.7,-13.511,-16.85679723,NA,4.99,67.56
2.02E+11,78.351,41.373,12.774,242.77,329.2,-57.797,-17.19855711,NA,4.91,67.71
2.02E+11,10.109,0,0,241.87,326.93,-83.313,-17.43596499,NA,4.25,69.19
2.02E+11,0,0,0,236.27,324.47,-88.2,-18.92824903,NA,3.56,69.21
2.02E+11,0,0,0,234.03,322.33,-88.3,-19.53259507,NA,3.04,71.95
2.02E+11,0,0,0,233.37,320.4,-87.1,-19.71148847,NA,2.59,75.23
2.02E+11,0,0,0,232.27,318.03,-85.7,-20.0104892,NA,2.51,76.46
2.02E+11,0,0,0,229.27,318.63,-89.367,-20.83137927,NA,2.45,76.62
2.02E+11,0,0,0,231.07,319.67,-88.6,-20.33788551,NA,2.38,73.9
2.02E+11,0,0,0,220.77,319.1,-98.267,-23.20183159,NA,2.28,71.57
2.02E+11,0,0,0,212.53,316.63,-104.1,-25.56604565,NA,1.68,76.36
2.02E+11,0,0,0,218.6,316,-97.4,-23.81793837,NA,1.46,75.94
2.02E+11,0,0,0,231.77,316.1,-84.367,-20.1467498,NA,1.44,70.07
2.02E+11,0,0,0,239.2,316.07,-76.877,-18.14419565,NA,1.42,65.4
2.02E+11,0,0,0,239.83,315.43,-75.617,-17.97655265,NA,1.28,61.48
2.02E+11,0,0,0,268.67,314.73,-46.053,-10.63310894,NA,0.88,65.48
2.02E+11,0,0,0,290.27,314.2,-23.913,-5.511710547,NA,0.49,71.81
2.02E+11,0,0,0,269,312.9,-43.893,-10.55258151,NA,0.22,74.31
2.02E+11,0,0,0,249.33,310.83,-61.473,-15.48776421,NA,-0.17,76.79
2.02E+11,0,0,0,221.57,307.63,-86.06,-22.97584124,NA,-0.5,79.2
2.02E+11,0,0,0,212.23,305.63,-93.4,-25.65340922,NA,-0.65,81.63
2.02E+11,0,0,0,212.3,303,-90.7,-25.6330161,NA,-0.75,84.7
2.02E+11,0,0,0,216.07,303.43,-87.367,-24.54207536,NA,-0.48,86
2.02E+11,0,0,0,219.1,302.6,-83.5,-23.67557297,NA,-0.5,87.17
2.02E+11,0,0,0,225.6,303.97,-78.377,-21.84663048,NA,-0.26,87.57
2.02E+11,0,0,0,222.4,304.8,-82.4,-22.74202217,NA,-0.13,88.13
2.02E+11,0,0,0,229.37,305.23,-75.813,-20.80388686,NA,-0.16,89.23
